,corrupted_files
0,/srv/data/twitter_geography/2013/geography_2013_1_01_19.csv.gz
1,/srv/data/twitter_geography/2013/geography_2013_1_02_10.csv.gz
2,/srv/data/twitter_geography/2013/geography_2013_1_08_09.csv.gz
3,/srv/data/twitter_geography/2013/geography_2013_1_08_10.csv.gz
4,/srv/data/twitter_geography/2013/geography_2013_1_11_21.csv.gz
5,/srv/data/twitter_geography/2013/geography_2013_1_13_09.csv.gz
6,/srv/data/twitter_geography/2013/geography_2013_1_14_16.csv.gz
7,/srv/data/twitter_geography/2013/geography_2013_1_14_17.csv.gz
8,/srv/data/twitter_geography/2013/geography_2013_1_16_09.csv.gz
9,/srv/data/twitter_geography/2013/geography_2013_3_05_05.csv.gz
10,/srv/data/twitter_geography/2013/geography_2013_3_05_23.csv.gz
11,/srv/data/twitter_geography/2013/geography_2013_3_06_08.csv.gz
12,/srv/data/twitter_geography/2013/geography_2013_3_06_16.csv.gz
13,/srv/data/twitter_geography/2013/geography_2013_3_13_01.csv.gz
14,/srv/data/twitter_geography/2013/geography_2013_3_13_09.csv.gz
15,/srv/data/twitter_geography/2013/geography_2013_3_13_17.csv.gz
16,/srv/data/twitter_geography/2013/geography_2013_3_15_00.csv.gz
17,/srv/data/twitter_geography/2013/geography_2013_3_15_20.csv.gz
18,/srv/data/twitter_geography/2013/geography_2013_3_16_12.csv.gz
19,/srv/data/twitter_geography/2013/geography_2013_3_30_11.csv.gz
20,/srv/data/twitter_geography/2013/geography_2013_3_31_19.csv.gz
21,/srv/data/twitter_geography/2013/geography_2013_4_11_21.csv.gz
22,/srv/data/twitter_geography/2013/geography_2013_5_04_07.csv.gz
23,/srv/data/twitter_geography/2013/geography_2013_5_30_04.csv.gz
24,/srv/data/twitter_geography/2013/geography_2013_6_18_14.csv.gz
25,/srv/data/twitter_geography/2013/geography_2013_6_19_04.csv.gz
26,/srv/data/twitter_geography/2013/geography_2013_6_19_08.csv.gz
27,/srv/data/twitter_geography/2013/geography_2013_6_19_12.csv.gz
28,/srv/data/twitter_geography/2013/geography_2013_6_20_02.csv.gz
29,/srv/data/twitter_geography/2013/geography_2013_6_20_08.csv.gz
30,/srv/data/twitter_geography/2013/geography_2013_6_21_00.csv.gz
31,/srv/data/twitter_geography/2013/geography_2013_6_21_07.csv.gz
32,/srv/data/twitter_geography/2013/geography_2013_6_21_18.csv.gz
33,/srv/data/twitter_geography/2013/geography_2013_6_22_07.csv.gz
34,/srv/data/twitter_geography/2013/geography_2013_6_22_12.csv.gz
35,/srv/data/twitter_geography/2013/geography_2013_6_23_03.csv.gz
36,/srv/data/twitter_geography/2013/geography_2013_6_23_09.csv.gz
37,/srv/data/twitter_geography/2013/geography_2013_6_23_19.csv.gz
38,/srv/data/twitter_geography/2013/geography_2013_6_24_02.csv.gz
39,/srv/data/twitter_geography/2013/geography_2013_6_27_07.csv.gz
40,/srv/data/twitter_geography/2013/geography_2013_6_27_08.csv.gz
41,/srv/data/twitter_geography/2013/geography_2013_7_15_00.csv.gz
42,/srv/data/twitter_geography/2013/geography_2013_7_15_14.csv.gz
43,/srv/data/twitter_geography/2013/geography_2013_7_15_15.csv.gz
44,/srv/data/twitter_geography/2013/geography_2013_7_16_08.csv.gz
45,/srv/data/twitter_geography/2013/geography_2013_7_18_14.csv.gz
46,/srv/data/twitter_geography/2013/geography_2013_7_24_10.csv.gz
47,/srv/data/twitter_geography/2013/geography_2013_7_24_16.csv.gz
48,/srv/data/twitter_geography/2013/geography_2013_7_25_11.csv.gz
49,/srv/data/twitter_geography/2013/geography_2013_7_26_16.csv.gz
50,/srv/data/twitter_geography/2013/geography_2013_7_26_22.csv.gz
51,/srv/data/twitter_geography/2013/geography_2013_7_26_23.csv.gz
52,/srv/data/twitter_geography/2013/geography_2013_7_27_00.csv.gz
53,/srv/data/twitter_geography/2013/geography_2013_7_28_07.csv.gz
54,/srv/data/twitter_geography/2013/geography_2013_7_28_11.csv.gz
55,/srv/data/twitter_geography/2013/geography_2013_7_29_14.csv.gz
56,/srv/data/twitter_geography/2013/geography_2013_7_30_00.csv.gz
57,/srv/data/twitter_geography/2013/geography_2013_7_30_19.csv.gz
58,/srv/data/twitter_geography/2013/geography_2013_7_31_11.csv.gz
59,/srv/data/twitter_geography/2013/geography_2013_8_02_06.csv.gz
60,/srv/data/twitter_geography/2013/geography_2013_8_02_10.csv.gz
61,/srv/data/twitter_geography/2013/geography_2013_8_02_13.csv.gz
62,/srv/data/twitter_geography/2013/geography_2013_8_03_11.csv.gz
63,/srv/data/twitter_geography/2013/geography_2013_8_03_16.csv.gz
64,/srv/data/twitter_geography/2013/geography_2013_8_04_20.csv.gz
65,/srv/data/twitter_geography/2013/geography_2013_8_05_01.csv.gz
66,/srv/data/twitter_geography/2013/geography_2013_8_05_17.csv.gz
67,/srv/data/twitter_geography/2013/geography_2013_8_06_02.csv.gz
68,/srv/data/twitter_geography/2013/geography_2013_8_06_11.csv.gz
69,/srv/data/twitter_geography/2013/geography_2013_8_09_05.csv.gz
70,/srv/data/twitter_geography/2013/geography_2013_8_11_11.csv.gz
71,/srv/data/twitter_geography/2013/geography_2013_8_12_00.csv.gz
72,/srv/data/twitter_geography/2013/geography_2013_8_12_21.csv.gz
73,/srv/data/twitter_geography/2013/geography_2013_8_13_16.csv.gz
74,/srv/data/twitter_geography/2013/geography_2013_8_14_12.csv.gz
75,/srv/data/twitter_geography/2013/geography_2013_8_15_03.csv.gz
76,/srv/data/twitter_geography/2013/geography_2013_8_16_07.csv.gz
77,/srv/data/twitter_geography/2013/geography_2013_8_17_08.csv.gz
78,/srv/data/twitter_geography/2013/geography_2013_8_17_20.csv.gz
79,/srv/data/twitter_geography/2013/geography_2013_8_19_05.csv.gz
80,/srv/data/twitter_geography/2013/geography_2013_8_19_16.csv.gz
81,/srv/data/twitter_geography/2013/geography_2013_8_21_02.csv.gz
82,/srv/data/twitter_geography/2013/geography_2013_8_21_17.csv.gz
83,/srv/data/twitter_geography/2013/geography_2013_8_23_09.csv.gz
84,/srv/data/twitter_geography/2013/geography_2013_8_23_21.csv.gz
85,/srv/data/twitter_geography/2013/geography_2013_8_27_11.csv.gz
86,/srv/data/twitter_geography/2013/geography_2013_8_29_04.csv.gz
87,/srv/data/twitter_geography/2013/geography_2013_8_29_18.csv.gz
88,/srv/data/twitter_geography/2013/geography_2013_8_29_19.csv.gz
89,/srv/data/twitter_geography/2013/geography_2013_8_30_18.csv.gz
90,/srv/data/twitter_geography/2013/geography_2013_8_30_19.csv.gz
91,/srv/data/twitter_geography/2013/geography_2013_8_30_21.csv.gz
92,/srv/data/twitter_geography/2013/geography_2013_8_30_22.csv.gz
93,/srv/data/twitter_geography/2013/geography_2013_9_01_10.csv.gz
94,/srv/data/twitter_geography/2013/geography_2013_9_01_12.csv.gz
95,/srv/data/twitter_geography/2013/geography_2013_9_02_05.csv.gz
96,/srv/data/twitter_geography/2013/geography_2013_9_03_04.csv.gz
97,/srv/data/twitter_geography/2013/geography_2013_9_03_10.csv.gz
98,/srv/data/twitter_geography/2013/geography_2013_9_04_13.csv.gz
99,/srv/data/twitter_geography/2013/geography_2013_9_04_23.csv.gz
100,/srv/data/twitter_geography/2013/geography_2013_9_06_10.csv.gz
101,/srv/data/twitter_geography/2013/geography_2013_9_07_13.csv.gz
102,/srv/data/twitter_geography/2013/geography_2013_9_07_16.csv.gz
103,/srv/data/twitter_geography/2013/geography_2013_9_09_07.csv.gz
104,/srv/data/twitter_geography/2013/geography_2013_9_09_12.csv.gz
105,/srv/data/twitter_geography/2013/geography_2013_9_10_08.csv.gz
106,/srv/data/twitter_geography/2013/geography_2013_9_10_13.csv.gz
107,/srv/data/twitter_geography/2013/geography_2013_9_11_13.csv.gz
108,/srv/data/twitter_geography/2013/geography_2013_9_11_15.csv.gz
109,/srv/data/twitter_geography/2013/geography_2013_9_11_20.csv.gz
110,/srv/data/twitter_geography/2013/geography_2013_9_11_23.csv.gz
111,/srv/data/twitter_geography/2013/geography_2013_9_12_02.csv.gz
112,/srv/data/twitter_geography/2013/geography_2013_9_12_07.csv.gz
113,/srv/data/twitter_geography/2013/geography_2013_9_12_08.csv.gz
114,/srv/data/twitter_geography/2013/geography_2013_9_13_09.csv.gz
115,/srv/data/twitter_geography/2013/geography_2013_9_13_19.csv.gz
116,/srv/data/twitter_geography/2013/geography_2013_9_14_01.csv.gz
117,/srv/data/twitter_geography/2013/geography_2013_9_14_22.csv.gz
118,/srv/data/twitter_geography/2013/geography_2013_9_16_02.csv.gz
119,/srv/data/twitter_geography/2013/geography_2013_9_17_12.csv.gz
120,/srv/data/twitter_geography/2013/geography_2013_9_20_04.csv.gz
121,/srv/data/twitter_geography/2013/geography_2013_9_20_23.csv.gz
122,/srv/data/twitter_geography/2013/geography_2013_9_21_14.csv.gz
123,/srv/data/twitter_geography/2013/geography_2013_9_22_07.csv.gz
124,/srv/data/twitter_geography/2013/geography_2013_9_23_07.csv.gz
125,/srv/data/twitter_geography/2013/geography_2013_9_24_09.csv.gz
126,/srv/data/twitter_geography/2013/geography_2013_11_01_20.csv.gz
127,/srv/data/twitter_geography/2013/geography_2013_11_03_12.csv.gz
128,/srv/data/twitter_geography/2013/geography_2013_11_11_11.csv.gz
