,corrupted_files
0,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_01_02.csv.gz
1,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_01_13.csv.gz
2,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_02_03.csv.gz
3,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_02_05.csv.gz
4,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_02_08.csv.gz
5,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_02_09.csv.gz
6,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_02_13.csv.gz
7,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_02_17.csv.gz
8,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_02_18.csv.gz
9,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_02_20.csv.gz
10,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_03_06.csv.gz
11,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_03_07.csv.gz
12,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_03_13.csv.gz
13,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_04_16.csv.gz
14,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_04_23.csv.gz
15,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_05_02.csv.gz
16,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_05_06.csv.gz
17,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_05_12.csv.gz
18,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_06_05.csv.gz
19,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_06_06.csv.gz
20,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_06_09.csv.gz
21,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_06_10.csv.gz
22,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_06_15.csv.gz
23,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_06_16.csv.gz
24,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_1_13_02.csv.gz
25,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_4_05_00.csv.gz
26,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_4_12_08.csv.gz
27,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_4_21_19.csv.gz
28,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_4_26_13.csv.gz
29,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_5_18_18.csv.gz
30,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_5_19_03.csv.gz
31,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_5_19_04.csv.gz
32,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_5_19_05.csv.gz
33,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_5_31_04.csv.gz
34,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_5_31_11.csv.gz
35,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_5_31_20.csv.gz
36,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_6_13_16.csv.gz
37,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_6_30_18.csv.gz
38,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_7_05_19.csv.gz
39,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_8_22_19.csv.gz
40,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_8_22_20.csv.gz
41,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_8_22_21.csv.gz
42,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_8_22_22.csv.gz
43,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_8_22_23.csv.gz
44,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_8_23_00.csv.gz
45,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_8_23_01.csv.gz
46,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_8_23_02.csv.gz
47,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_8_23_03.csv.gz
48,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_8_23_04.csv.gz
49,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_8_23_05.csv.gz
50,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_8_23_06.csv.gz
51,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_8_23_07.csv.gz
52,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_8_23_08.csv.gz
53,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_8_23_09.csv.gz
54,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_8_23_11.csv.gz
55,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_10_04_07.csv.gz
56,/srv/data/twitter_sentiment/2017/bert_sentiment_2017_10_17_08.csv.gz
