,missing_files
0,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_3_29_02.csv.gz
1,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_3_29_23.csv.gz
2,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_10_23.csv.gz
3,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_12_23.csv.gz
4,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_13_23.csv.gz
5,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_14_23.csv.gz
6,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_15_23.csv.gz
7,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_16_23.csv.gz
8,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_17_23.csv.gz
9,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_18_23.csv.gz
10,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_19_23.csv.gz
11,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_20_23.csv.gz
12,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_21_23.csv.gz
13,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_22_23.csv.gz
14,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_23_23.csv.gz
15,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_24_23.csv.gz
16,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_25_23.csv.gz
17,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_26_23.csv.gz
18,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_27_23.csv.gz
19,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_28_23.csv.gz
20,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_29_23.csv.gz
21,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_30_23.csv.gz
22,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_5_31_23.csv.gz
23,/srv/data/twitter_sentiment/2020/bert_sentiment_2020_6_01_23.csv.gz
