,corrupted_files
0,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_15_20.csv.gz
1,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_16_07.csv.gz
2,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_3_16_08.csv.gz
3,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_7_17_23.csv.gz
4,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_7_18_20.csv.gz
5,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_7_24_08.csv.gz
6,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_7_24_10.csv.gz
7,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_7_24_15.csv.gz
8,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_8_05_01.csv.gz
9,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_8_07_06.csv.gz
10,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_8_11_05.csv.gz
11,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_8_12_01.csv.gz
12,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_8_14_15.csv.gz
13,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_8_28_20.csv.gz
14,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_9_02_17.csv.gz
15,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_9_03_07.csv.gz
16,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_9_06_07.csv.gz
17,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_9_08_19.csv.gz
18,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_9_09_06.csv.gz
19,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_9_11_13.csv.gz
20,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_9_12_02.csv.gz
21,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_9_20_07.csv.gz
22,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_9_20_23.csv.gz
23,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_9_22_00.csv.gz
24,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_11_01_06.csv.gz
25,/srv/data/twitter_sentiment/2013/bert_sentiment_2013_11_04_04.csv.gz
