,corrupted_files
0,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_01_00.csv.gz
1,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_01_01.csv.gz
2,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_01_02.csv.gz
3,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_01_03.csv.gz
4,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_01_04.csv.gz
5,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_1_01_05.csv.gz
6,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_09_11.csv.gz
7,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_09_12.csv.gz
8,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_09_13.csv.gz
9,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_23_00.csv.gz
10,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_23_01.csv.gz
11,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_23_02.csv.gz
12,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_23_03.csv.gz
13,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_23_04.csv.gz
14,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_23_05.csv.gz
15,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_23_06.csv.gz
16,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_23_07.csv.gz
17,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_23_08.csv.gz
18,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_23_09.csv.gz
19,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_23_10.csv.gz
20,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_23_11.csv.gz
21,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_23_12.csv.gz
22,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_2_23_13.csv.gz
23,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_3_27_10.csv.gz
24,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_3_27_11.csv.gz
25,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_4_01_06.csv.gz
26,/srv/data/twitter_sentiment/2012/bert_sentiment_2012_4_01_10.csv.gz
